11:22:32  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:32  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using texture size 128 x 128.  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  674
11:22:32  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using real height 15 pixels.  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  675
11:22:32  |  Core  |  Info  |  Load ini file 'MyGUI_Images.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  238
11:22:33  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  239
11:22:33  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  240
11:22:33  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  241
11:22:33  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  242
11:22:33  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  243
11:22:33  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  244
11:22:33  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  245
11:22:33  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  246
11:22:33  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  247
